Pi16
Igfbp6
Clec3b
Mfap5
Igfbp5
Fbn1
Has1
Pcolce2
Fn1
Fstl1
C3
Ugdh
Tnfaip6
Gsn
Dpt
Efemp1
Ptx3
Sema3c
Cd248
Gfpt2
Cd34
Myoc
Adamts5
Ackr3
Tnxb
Fndc1
Uap1
Nid1
Cd55
Serping1
Ecm1
Rarres2
Col14a1
Pla1a
Anxa3
Col3a1
Ppap2b
Scara5
Pcsk6
Timp2
Dcn
Axl
Anxa1
Ly6a
Prss23
Tmem100
Efhd1
Ccl11
Ogn
Htra3
Lrrn4cl
Rnase4
Procr
Mt2
S100a6
Islr
Igfbp4
Aspn
Tppp3
Gal
Sdc4
Chodl
Asb5
Myod1
Gpx3
Crlf1
Tnfrsf12a
Rpl23a
Cd82
Rps27
Pdpn
Errfi1
Nppc
Aqp1
Fabp4
Gpihbp1
Cav1
Timp4
Egfl7
Gng11
Cdh5
Ly6c1
Sdpr
Flt1
Cldn5
Tcf15
Tspan13
Esam
Cd36
Cav2
C1qtnf9
Rgcc
Ctla2a
Kdr
Slc9a3r2
Pecam1
Id1
Cd300lg
Tspan7
Igfbp7
Emcn
Gpr116
Mgll
Lims2
Klf2
Eltd1
Sparcl1
Iigp1
Jam2
Ptrf
Tm4sf1
Eng
Ptprb
Cd200
1810011O10Rik
Cxcl12
Epas1
Rnd1
Hspb1
Sox17
Tinagl1
Myct1
Gimap6
Cyyr1
Mllt4
Apold1
Car4
Kitl
Ppp1r2
Nrp1
Ramp2
Ecscr
Pim3
Rasip1
Podxl
Pdlim1
Aqp7
Smco4
Sptbn1
Itga6
Scarb1
Tie1
S1pr1
Fam101b
Tmem88
Cd93
Kank3
Bcam
Car8
Sgk1
Ehd2
H2-Q4
Ly6a
Sult1a1
Gpr56
Irf1
Arhgap31
Aplp2
Mmrn2
Ushbp1
Ctnnbip1
Tm4sf1
Stmn2
Rbp7
Cldn5
Fabp4
Clu
Ly6c1
Ptprb
Pecam1
Epas1
Flt1
Slc9a3r2
Sox17
Id1
Igfbp3
Cdh5
8430408G22Rik
Cav1
Egfl7
Tsc22d1
Tinagl1
Mgll
Podxl
Icam2
Fbln5
Apold1
Cd36
Esam
Mmrn2
Eng
Edn1
